Participant,Time,beta,rho,eta,mu,nu,Participant number
1,Session 1,475.31404,234.10253,-0.9607302,29.21414,186.04131,P1
2,Session 1,128.66816,151.49033,-0.45000551,43.39,133.50902,P2
3,Session 1,430.20507,74.47605,-0.94227985,34.97065,59.81081,P3
4,Session 1,752.66252,275.35028,-0.97406066,22.62264,97.55137,P4
5,Session 1,83.45428,289.30816,-0.25050869,45.5621,314.51349,P5
6,Session 1,49.94035,335.768,-0.13962413,48.17719,349.1716,P6
7,Session 1,329.26154,84.92829,-0.91153436,35.35254,62.64283,P7
8,Session 1,118.5452,213.09646,-0.01502874,49.95116,225.40167,P8
9,Session 1,147.49973,304.97049,-0.54600551,42.91706,336.05892,P9
10,Session 1,202.57254,357.28594,-0.68437437,40.37692,390.06125,P10
11,Session 1,57.36513,207.77767,0.05133468,50.8848,218.81033,P11
12,Session 1,104.63145,162.197,-0.31832882,45.51809,166.54494,P12
13,Session 1,385.23191,529.74956,0.31311113,53.74808,595.78073,P13
14,Session 1,480.11503,298.87282,-0.920223,33.17372,293.76702,P14
15,Session 1,633.86781,310.99174,-0.95967277,24.10408,177.77969,P15
16,Session 1,177.52167,345.2229,0.08810655,52.52735,356.41287,P16
17,Session 1,125.77805,179.98952,-0.18340248,46.92225,181.09061,P17
18,Session 1,270.37741,470.20348,0.13309077,51.98709,550.63298,P18
19,Session 1,1221.44125,423.27038,-0.97436,14.61373,14.18815,P19
20,Session 1,323.48972,110.06479,-0.82931256,37.11933,89.48323,P20
21,Session 1,84.84818,255.15358,-0.08341788,48.54014,279.81656,P21
22,Session 1,148.48198,288.36399,0.04930225,50.66284,295.42502,P22
23,Session 1,195.03096,245.94105,0.24667829,53.63154,250.59246,P23
24,Session 1,15.14041,232.58832,-0.10439491,48.55531,233.78869,P24
25,Session 1,280.52367,459.53755,-0.65699482,40.26529,504.83236,P25
26,Session 1,139.32595,232.1662,-0.53655468,42.47154,240.53209,P26
1,Session 2,259.33338,145.70495,-0.797184849,37.43773,138.65359,P1
2,Session 2,63.1319,249.35905,-0.270827836,45.807099,244.06982,P2
3,Session 2,189.67992,131.86172,-0.668441842,39.722009,133.34601,P3
4,Session 2,1279.54835,517.03427,-0.952053709,14.957619,90.12851,P4
5,Session 2,212.21142,137.72262,-0.62279429,40.443988,119.93159,P5
6,Session 2,137.15398,553.1275,-0.070805078,50.226536,562.95459,P6
7,Session 2,263.43957,56.37276,-0.599942076,40.824482,41.82925,P7
8,Session 2,106.11013,393.02916,-0.379557196,44.39217,393.10792,P8
9,Session 2,146.4608,292.98992,-0.243943568,46.076546,292.51122,P9
10,Session 2,174.04362,228.26463,-0.504263688,42.2017,202.97567,P10
11,Session 2,82.71683,248.53332,-0.257041853,46.000418,257.58507,P11
12,Session 2,22.15913,238.08042,-0.148632431,47.936465,239.59983,P12
13,Session 2,184.89771,573.04192,0.010111357,51.575074,581.3664,P13
14,Session 2,632.51995,192.71482,-0.963432214,27.125443,133.6466,P14
15,Session 2,682.66879,330.21479,-0.944487324,25.670685,213.14312,P15
16,Session 2,160.95926,345.69371,-0.537234094,42.540811,358.08265,P16
17,Session 2,94.00782,184.1152,-0.352008718,44.347572,174.23798,P17
18,Session 2,180.04738,317.4999,-0.166628067,47.78417,347.17691,P18
19,Session 2,1568.53554,610.1946,-0.959066612,9.533581,12.7475,P19
20,Session 2,251.13006,145.50914,-0.262506342,46.157735,150.96884,P20
21,Session 2,62.38512,300.84674,-0.232586808,46.488319,309.769,P21
22,Session 2,85.83361,293.15221,-0.217292904,47.350493,295.36058,P22
23,Session 2,813.9759,443.03475,-0.94360938,23.353481,279.5817,P23
24,Session 2,54.23872,190.59046,-0.005426789,50.04636,188.31551,P24
25,Session 2,281.95971,480.80139,-0.628892974,40.094332,503.95415,P25
26,Session 2,53.67463,355.19656,-0.096395379,49.231859,363.84755,P26
